"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2015,Western,Montana,47
2015,Western,Nevada,101
2015,Western,New Mexico,77
2015,Western,Oregon,135
2015,Western,Utah,64
2015,Western,Washington,182
2015,Western,Wyoming,26
2015,All,U.S. Total,"6,616"
2016,Northeastern,Connecticut,38
2016,Northeastern,Maine,32
2016,Northeastern,Massachusetts,74
2016,Northeastern,New Hampshire,37
2016,Northeastern,New Jersey,77
2016,Northeastern,New York,166
2016,Northeastern,Pennsylvania,290
2016,Northeastern,Rhode Island,19
2016,Northeastern,Vermont,28
2016,Midwestern,Illinois,170
2016,Midwestern,Indiana,75
2016,Midwestern,Iowa,69
2016,Midwestern,Kansas,60
2016,Midwestern,Michigan,177
2016,Midwestern,Minnesota,101
2016,Midwestern,Missouri,170
2016,Midwestern,Nebraska,29
2016,Midwestern,North Dakota,18
2016,Midwestern,Ohio,257
2016,Midwestern,South Dakota,21
2016,Midwestern,Wisconsin,141
2016,Southern,Alabama,134
2016,Southern,Arkansas,97
2016,Southern,Delaware,25
2016,Southern,District of Columbia,<10
2016,Southern,Florida,558
2016,Southern,Georgia,206
2016,Southern,Kentucky,113
2016,Southern,Louisiana,82
2016,Southern,Maryland,76
2016,Southern,Mississippi,56
2016,Southern,North Carolina,186
2016,Southern,Oklahoma,114
2016,Southern,South Carolina,130
2016,Southern,Tennessee,178
2016,Southern,Texas,549
2016,Southern,Virginia,209
2016,Southern,West Virginia,53
2016,Western,Alaska,17
2016,Western,Arizona,238
2016,Western,California,511
2016,Western,Colorado,175
2016,Western,Hawaii,12
2016,Western,Idaho,61
2016,Western,Montana,48
2016,Western,Nevada,112
2016,Western,New Mexico,72
2016,Western,Oregon,133
2016,Western,Utah,62
2016,Western,Washington,187
2016,Western,Wyoming,22
2016,All,U.S. Total,"6,467"
2017,Northeastern,Connecticut,40
2017,Northeastern,Maine,49
2017,Northeastern,Massachusetts,64
2017,Northeastern,New Hampshire,37
2017,Northeastern,New Jersey,81
2017,Northeastern,New York,154
2017,Northeastern,Pennsylvania,291
2017,Northeastern,Rhode Island,12
2017,Northeastern,Vermont,10
2017,Midwestern,Illinois,185
2017,Midwestern,Indiana,134
2017,Midwestern,Iowa,68
2017,Midwestern,Kansas,76
2017,Midwestern,Michigan,197
2017,Midwestern,Minnesota,101
2017,Midwestern,Missouri,167
2017,Midwestern,Nebraska,39
2017,Midwestern,North Dakota,22
2017,Midwestern,Ohio,261
2017,Midwestern,South Dakota,22
2017,Midwestern,Wisconsin,139
2017,Southern,Alabama,135
2017,Southern,Arkansas,108
2017,Southern,Delaware,17
2017,Southern,District of Columbia,<10
2017,Southern,Florida,548
2017,Southern,Georgia,213
2017,Southern,Kentucky,119
2017,Southern,Louisiana,106
2017,Southern,Maryland,86
2017,Southern,Mississippi,68
2017,Southern,North Carolina,231
2017,Southern,Oklahoma,98
2017,Southern,South Carolina,124
2017,Southern,Tennessee,174
2017,Southern,Texas,534
2017,Southern,Virginia,173
2017,Southern,West Virginia,65
2017,Western,Alaska,28
2017,Western,Arizona,234
2017,Western,California,528
2017,Western,Colorado,167
2017,Western,Hawaii,25
2017,Western,Idaho,53
2017,Western,Montana,57
2017,Western,Nevada,123
2017,Western,New Mexico,77
2017,Western,Oregon,154
2017,Western,Utah,66
2017,Western,Washington,194
2017,Western,Wyoming,28
2017,All,U.S. Total,"6,686"
2018,Northeastern,Connecticut,49
2018,Northeastern,Maine,49
2018,Northeastern,Massachusetts,70
2018,Northeastern,New Hampshire,40
2018,Northeastern,New Jersey,65
2018,Northeastern,New York,184
2018,Northeastern,Pennsylvania,273
2018,Northeastern,Rhode Island,15
2018,Northeastern,Vermont,14
2018,Midwestern,Illinois,159
2018,Midwestern,Indiana,147
2018,Midwestern,Iowa,63
2018,Midwestern,Kansas,83
2018,Midwestern,Michigan,216
2018,Midwestern,Minnesota,97
2018,Midwestern,Missouri,200
2018,Midwestern,Nebraska,42
2018,Midwestern,North Dakota,16
2018,Midwestern,Ohio,232
