"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	0	27728	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	0	116211	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	14	161564	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"25-29 years"	"25-29"	17	170662	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"35-39 years"	"35-39"	21	156327	13.4
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"40-44 years"	"40-44"	19	149037	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"45-49 years"	"45-49"	18	161205	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"50-54 years"	"50-54"	22	161898	13.6
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"55-59 years"	"55-59"	19	175251	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"60-64 years "	"60-64"	13	168373	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"65-69 years"	"65-69"	12	145323	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"80-84 years"	"80-84"	0	58373	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	0	29011	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	0	120253	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	0	152067	Unreliable
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	34	159983	21.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	52	163656	31.8
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"25-29 years"	"25-29"	57	169352	33.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"30-34 years"	"30-34"	67	148045	45.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"35-39 years"	"35-39"	66	147667	44.7
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"40-44 years"	"40-44"	45	139271	32.3
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"45-49 years"	"45-49"	37	151761	24.4
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"50-54 years"	"50-54"	44	152594	28.8
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	"55-59 years"	"55-59"	54	161560	33.4
